Geography,Sex,Year,Age_group,Rate
Nunavut,Female,2017,15 to 19,1.3
Nunavut,Female,2018,15 to 19,1.9
Nunavut,Female,2019,15 to 19,1.2
Nunavut,Female,2020,15 to 19,0
Newfoundland and Labrador,Male,2016,20 to 24,0.9
Newfoundland and Labrador,Male,2017,20 to 24,0.5
Newfoundland and Labrador,Male,2018,20 to 24,0.9
Newfoundland and Labrador,Male,2019,20 to 24,0.4
Newfoundland and Labrador,Male,2020,20 to 24,0.8
Newfoundland and Labrador,Female,2016,20 to 24,0.4
Newfoundland and Labrador,Female,2017,20 to 24,0.4
Newfoundland and Labrador,Female,2018,20 to 24,0.1
